OTUID	CoefficientOfBimodality	MaxRel_All	MedianRel_All	MaxRel_NoSingletons	MedianRel_NoSingletons
43	0.974477563046954	0.0700864608993866	0	0.0700864608993866	0
117	0.949474094644953	0.0413927757891311	0.000145612772809813	0.0413927757891311	0.000145612772809813
120	0.901818401999243	0.0377382292434887	0	0.0377382292434887	0
155	0.990928181956185	0.0914818191026031	5.58479817935579e-05	0.0914818191026031	5.58479817935579e-05
220	0.930725228157026	0.0248616986657989	7.90692420648368e-05	0.0248616986657989	7.90692420648368e-05
286	0.918449024881466	0.0250700926287398	0	0.0250700926287398	0
320	0.934061898616246	0.0204893976080417	0	0.0204893976080417	0
336	0.900125801542398	0.00669321358976531	0	0.00669321358976531	0
338	0.916334572446249	0.0153785488958991	1.63313300235171e-05	0.0153785488958991	1.63313300235171e-05
345	0.964856468746692	0.0429690366131044	0	0.0429690366131044	0
352	0.933944471474436	0.0167697147196008	7.01941570383681e-05	0.0167697147196008	7.01941570383681e-05
360	0.917048785040981	0.0116619938247507	0.000191104103960633	0.0116619938247507	0.000191104103960633
374	0.935281513790758	0.0159716175648806	0	0.0159716175648806	0
399	0.909106736000464	0.00973134116477978	0.000209787764711367	0.00973134116477978	0.000209787764711367
410	0.905887357471432	0.0062272303651614	0	0.0062272303651614	0
482	0.940165777070311	0.0309083571795436	3.60861014380311e-05	0.0309083571795436	3.60861014380311e-05
527	0.930448014815999	0.0154451073271807	1.39056915995717e-05	0.0154451073271807	1.39056915995717e-05
549	0.930962323837195	0.0155765267382579	2.86656155940949e-05	0.0155765267382579	2.86656155940949e-05
559	0.9343963136497	0.0141847397317619	0	0.0141847397317619	0
598	0.931204884842927	0.0157930226780708	0	0.0157930226780708	0
609	0.973436171422416	0.0194621762418373	1.93836014731537e-05	0.0194621762418373	1.93836014731537e-05
617	0.919765586594438	0.0102778862192568	0	0.0102778862192568	0
641	0.934916895521469	0.00897017200087089	1.52468076996379e-05	0.00897017200087089	1.52468076996379e-05
696	0.914314638114593	0.00609717145189339	0.000127373784159333	0.00609717145189339	0.000127373784159333
719	0.971076078017063	0.0159454417898922	0	0.0159454417898922	0
720	0.943158686568779	0.0196188380594102	0	0.0196188380594102	0
784	0.92259908926677	0.00633572828216852	1.11495149960977e-05	0.00633572828216852	1.11495149960977e-05
793	0.989935110518195	0.0108775405385575	0	0.0108775405385575	0
797	0.906753955394702	0.00860310075504555	0	0.00860310075504555	0
838	0.958764125772468	0.0118992587436167	0	0.0118992587436167	0
863	0.949573806758689	0.0172906980870923	0	0.0172906980870923	0
894	0.963247921276639	0.018539943925897	0	0.018539943925897	0
908	0.921683458875653	0.00842954801307396	1.09875620797258e-05	0.00842954801307396	1.09875620797258e-05
911	0.902518860369642	0.00850662594418423	0	0.00850662594418423	0
